year,state,population-density
2021,indiana,187.09176802019792
2021,iowa,56.829292868083186
2021,minnesota,65.77228284356404
2021,missouri,88.51899931412903
2021,nebraska,25.39506936266198
2022,illinois,217.26374915714888
2022,indiana,187.59907796773985
2022,iowa,56.86037359783526
2022,minnesota,65.73009080375721
2022,missouri,88.61619186253773
2022,nebraska,25.444288597182002
2023,illinois,216.69693879929653
2023,indiana,188.42075204114272
2023,iowa,56.99029424690184
2023,minnesota,66.00172794117223
2023,missouri,88.88858922182696
2023,nebraska,25.577698967818222
2024,illinois,
2024,indiana,
2024,iowa,
2024,minnesota,
2024,missouri,
2024,nebraska,
